Time,Velocity,GForce,Acceleration,Thrust,TWR,AltitudeFromTerrain,AltitudeFromSea,DownrangeDistance,Latitude,Longitude,Apoapsis,Periapsis,Inclination,OrbitalVelocity,TargetDistance,TargetVelocity,StageDeltaV,VesselDeltaV,Pressure,
1,9,2.92,18.89,17521.09,2.93,99.93,72.42,0,-0.1,-74.56,92,0,0.1,176,0,0,822,3952,100.02,
2,28,2.94,19.06,17524.84,2.97,118.19,72.42,0,-0.1,-74.56,145,0,0.1,179,0,0,833,3974,99.76,
3,48,2.96,19.32,17533,3,157.66,72.42,0,-0.1,-74.56,262,0,0.11,184,0,0,822,3952,99.18,
4,67,2.98,19.52,17545.39,3.04,212.65,72.42,0.01,-0.1,-74.56,427,0,0.13,191,0,0,787,3931,98.37,
5,87,3,19.71,17562.4,3.07,292.55,72.43,0.01,-0.1,-74.56,667,0,0.15,200,0,0,672,3807,97.21,
6,106,3.02,19.86,17578.8,3.1,385.2,71.55,0.02,-0.1,-74.56,948,0,0.17,210,0,0,679,3817,95.88,
7,127,3.03,20.03,17602.7,3.14,506.2,67.69,0.03,-0.1,-74.56,1317,0,0.19,223,0,0,685,3840,94.16,
8,146,3.05,20.2,17630.81,3.18,637.07,67.69,0.03,-0.1,-74.55,1718,0,0.21,236,0,0,648,3796,92.33,
9,167,3.07,20.39,17661.77,3.22,799.8,67.7,0.05,-0.1,-74.55,2221,0,0.23,251,0,0,611,3777,90.1,
10,187,3.08,20.56,17696.46,3.26,969.49,67.71,0.06,-0.1,-74.55,2749,0,0.24,266,0,0,522,3682,87.81,
11,208,3.1,20.71,17733.21,3.31,1174.58,67.73,0.08,-0.1,-74.55,3391,0,0.26,283,0,0,530,3709,85.11,
12,228,3.11,20.82,17773.1,3.35,1383.64,67.74,0.09,-0.1,-74.55,4049,0,0.27,300,0,0,496,3671,82.42,
13,250,3.12,20.93,17814.22,3.4,1626.62,67.76,0.12,-0.1,-74.55,4819,0,0.28,318,0,0,458,3654,79.39,
14,271,3.13,21.05,17848.47,3.44,1885.79,67.79,0.14,-0.1,-74.54,5644,0,0.3,336,0,0,426,3629,76.25,
15,292,3.14,21.16,17893.14,3.49,2165.79,65.75,0.17,-0.1,-74.54,6540,0,0.31,355,0,0,362,3561,72.98,
16,313,3.12,20.97,17937.97,3.54,2466.67,64.32,0.2,-0.1,-74.54,7505,0,0.33,374,0,0,345,3567,69.59,
17,333,3.01,19.98,17984.33,3.6,2787.99,63.36,0.23,-0.1,-74.54,8509,0,0.35,393,0,0,304,3522,66.11,
18,352,2.92,19.1,18029.99,3.65,3128.69,62.58,0.27,-0.1,-74.53,9539,0,0.36,411,0,0,262,3503,62.58,
19,371,2.87,18.73,18076.36,3.71,3487.9,62.82,0.31,-0.1,-74.53,10604,0,0.37,429,0,0,219,3457,59.02,
20,389,2.88,18.81,18121.39,3.76,3865.27,62.65,0.36,-0.1,-74.52,11723,0,0.38,447,0,0,176,3437,55.46,
21,408,2.89,19.01,18157.15,3.81,4260.8,61.7,0.41,-0.1,-74.52,12905,0,0.39,466,0,0,141,3410,51.92,
22,427,2.93,19.34,18201.81,3.87,4674.68,62.49,0.47,-0.1,-74.51,14158,0,0.4,484,0,0,96,3361,48.41,
23,447,2.97,19.81,18244.73,3.93,5107.24,61.71,0.53,-0.1,-74.51,15493,0,0.4,504,0,0,51,3339,44.96,
24,467,3.03,20.42,18287.48,3.99,5558.96,60.72,0.6,-0.1,-74.5,16919,0,0.41,523,0,0,4,3289,41.56,
25,487,3.11,21.21,18328.33,4.06,6030.46,61.2,0.67,-0.1,-74.49,18452,0,0.41,544,0,0,0,3307,38.24,
26,509,3.2,22.11,18368.77,4.12,6522.52,60.39,0.75,-0.1,-74.49,20106,0,0.41,565,0,0,0,3303,35.02,
27,532,3.3,23.11,18407.17,4.19,7036.04,58.42,0.83,-0.09,-74.48,21897,0,0.42,588,0,0,0,3325,31.88,
28,555,3.41,24.19,18437.08,4.24,7572.04,57.55,0.92,-0.09,-74.47,23841,0,0.42,611,0,0,0,3332,28.86,
29,580,3.52,25.24,18473.69,4.31,8131.59,53.36,1.02,-0.09,-74.46,25951,0,0.43,636,0,0,0,3326,25.96,
30,606,3.6,26.11,18508.05,4.39,8715.69,52.5,1.12,-0.09,-74.45,28230,0,0.43,661,0,0,0,3347,23.19,
31,633,3.68,26.91,18541.25,4.46,9325.15,46.9,1.23,-0.09,-74.44,30681,0,0.44,687,0,0,0,3341,20.58,
32,660,3.77,27.78,18571.4,4.53,9960.79,38.93,1.35,-0.09,-74.43,33320,0,0.45,714,0,0,0,3362,18.16,
